,id,geodetic_c,current_ma,descriptio,mark_type,beacon_typ,mark_condi,order,land_distr,latitude,longitude,ellipsoida,geometry,affected_area,affected_length
131648,45538083,EY2L,BMT-1801,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24042241,173.0935821,,POINT (1607841.7299895461 5434548.988918107),0.0,0.0
131724,45538160,EY06,BMT-1854,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.24018049,173.0932061,,POINT (1607810.251796044 5434575.880805204),0.0,0.0
130318,45538019,EY4P,PC 36,NCC Control Point,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.22009667,173.3093344,,POINT (1625928.7797920243 5436763.52943541),0.0,0.0
130338,45538052,EY3M,BMT-260,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.16627669,173.0469368,,POINT (1603937.5198034411 5442783.320197718),0.0,0.0
131903,45538270,EXVM,BMT-261,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.15518329,173.0383254,,POINT (1603215.6531504255 5444015.18115059),0.0,0.0
123764,36774330,AMLQ,MOTUEKA NAVIGATION BEACON,,Other,Two metre beacon,,12,Nelson,-41.106221252639,173.031800123564,,POINT (1602670.1403156025 5449450.775615029),0.0,0.0
78663,36806126,C7M8,IS III DP 2249,N/A,"Spike, Bar, Bolt, Rod, Dog",Unknown,Reliably Placed,6,Nelson,-41.073697049,173.006414793,19.8658,POINT (1600538.8931374345 5453061.794241261),0.0,0.0
104901,36729882,AMLL,AA (Kaiteriteri SD),,Other,Not Beaconed,,8,Nelson,-41.073104899,173.005497993,,POINT (1600461.878944764 5453127.534609242),0.0,0.0
30840,43706202,EXJH,IB 3 DP 465540,Iron spike flush in seal.,"Spike, Bar, Bolt, Rod, Dog",,Reliably Placed,5,Nelson,-41.07294243,173.007459839,20.097,POINT (1600626.6912360452 5453145.557938841),0.0,0.0
129707,45538217,EXXB,BMT-1779,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.07252195,173.0082246,,POINT (1600690.9427293872 5453192.230387456),0.0,0.0
37467,36733801,C7LL,IS VII SO 12130,,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Reliably Placed,5,Nelson,-41.037922227,173.016918128,20.3119,POINT (1601422.025097497 5457033.058827939),0.0,0.0
120757,36747926,ANTP,NB (Cobden SD),,Other,Not Beaconed,,12,Westland,-42.426492035726,171.20568991212,,POINT (1452393.7034338312 5301309.53851208),0.0,0.0
108100,36744656,B2B0,4455,FIXED BY HANGING EDM TRAVERSE FROM TRIG 4481,Other,Not Beaconed,,9,Westland,-42.421518851899,171.207344412152,,POINT (1452518.1526776394 5301864.646340557),0.0,0.0
33850,36762397,B28X,PA RAZORBACK,Iron tube (nail grouted in centre) in good condition,Tube,Not Beaconed,Reliably Placed,5,Westland,-42.124540302,171.327196675,46.1534,POINT (1461730.8649584823 5335041.99215044),0.0,0.0
24394,37618225,EV7A,IT III DP 306878,Iron tube flush with surface on edge of seal.,Tube,,Reliably Placed,5,Westland,-42.119406024,171.331466479,21.7325,POINT (1462072.6663947802 5335618.987355984),0.0,0.0
18218,43704051,EUD1,IT I SO 465804,Iron tube buried in grass berm 0.2m down.,Tube,,Reliably Placed,5,Nelson,-42.018390683,171.39381599,21.2578,POINT (1467016.1255401918 5346934.010620246),0.0,0.0
38209,36778223,C7ED,IT VIII SO 10328,Down 0.2 in sealed formation.,Tube,Not Beaconed,Reliably Placed,5,Nelson,-41.743264656,171.668041897,21.372,POINT (1489246.9567575627 5377870.981564998),0.0,0.0
108884,36761894,A66G,OA (Kawatiri SD),,Other,Not Beaconed,,9,Nelson,-41.741689072457,171.66109765606,,POINT (1488666.8043441272 5378036.9521637885),0.0,0.0
103971,36753006,A66L,FAIRDOWN,1 INCH DIAM IRON TUBE.,Tube,Two metre beacon,Threatened,8,Nelson,-41.727757964724,171.698141695488,,POINT (1491723.7760167825 5379630.950481971),0.0,0.0
121802,36756746,B77X,WAIMANGAROA,,Other,Not Beaconed,,12,Nelson,-41.700783753166,171.740658063916,,POINT (1495216.1425458519 5382678.416079246),0.0,0.0
73650,39776929,DW5D,IT IV DP 7918,,Tube,,Reliably Placed,6,Nelson,-41.699462021,171.746961416,,POINT (1495738.4888662458 5382832.813914636),0.0,0.0
108456,36753003,A663,FA (Kawatiri SD),,Other,Not Beaconed,,9,Nelson,-41.692813916043,171.749932868,,POINT (1495975.024977304 5383574.519568781),0.0,0.0
76942,37711379,EFUY,PILLAR I SO 11914,,Other,,Reliably Placed,6,Nelson,-41.684121182,171.764722297,,POINT (1497191.9168060431 5384557.394895739),0.0,0.0
119643,36738966,B77V,BIRCHFIELD,,Other,Not Beaconed,,12,Nelson,-41.673771661425,171.780955761304,,POINT (1498526.73954436 5385725.703071331),0.0,0.0
21665,39492246,EU7K,IT IC SO 10387,Iron tube in box 0.2m down in grass berm.,Tube,,Reliably Placed,5,Westland,-41.617109588,171.865067794,21.4513,POINT (1505445.5206020959 5392112.23012828),0.0,0.0
6763,44605974,EU7R,BP 1 SO 484436,Bronze plaque flush in concrete kerb,Plaque,Not Beaconed,Reliably Placed,5,Nelson,-41.608424627,171.874020268,20.3117,POINT (1506178.802323014 5393086.2422535345),0.0,0.0
82902,37088314,DW4J,IS XXIII SO 12551,,"Spike, Bar, Bolt, Rod, Dog",,Reliably Placed,6,Nelson,-41.608323379,171.873925538,,POINT (1506170.7619051472 5393097.380388992),0.0,0.0
37109,44158161,EU7U,IT III DP 442516,Iron tube 0.05m down in grass berm.,Tube,,Reliably Placed,5,Nelson,-41.604183204,171.878737368,21.2512,POINT (1506565.736386074 5393562.261328679),0.0,0.0
84606,41888272,DW4R,BM C627 SO 12552,"0.20d, 4.3m pp & 4.2m P&W fence",Plaque,,Reliably Placed,6,Nelson,-41.567119905,171.909504847,,POINT (1509077.6246623162 5397710.011202328),0.0,0.0
112054,36770953,A6YT,AP (Mokihinui SD),"NOT FOUND 1974. "" PROBABLY WASHED AWAY "" (SEE SO 11915)",Other,Not Beaconed,,9,Nelson,-41.527058326,171.932216417,,POINT (1510916.2956295228 5402181.410779854),0.0,0.0
106665,36726506,A6YU,AP NO 2,"IRON TUBE SET IN CONCRETE. THIS STATION IS IT 6, SO 11915.",Other,Not Beaconed,Reliably Placed,8,Nelson,-41.526773748,171.932801215,,POINT (1510964.6951771704 5402213.608522961),0.0,0.0
21962,37960149,EUBC,IT I SO 15555,Iron tube down 0.1m under plastic box in grass berm.,Tube,,Reliably Placed,5,Westland,-41.524271736,171.936164793,18.8184,POINT (1511241.8997977106 5402494.84768896),0.0,0.0
46468,47746732,EW77,BP 3 LITTLE WANGANUI,Bronze Plaque down 0.05m in concrete block.,Plaque,Not Beaconed,Reliably Placed,6,Nelson,-41.39149033,172.0596405,20.7774,POINT (1521383.6725581088 5417355.728335446),0.0,0.0
8828,47746733,EW75,BP 1 LITTLE WANGANUI,Bronze Plaque flush on concrete base for picnic table.,Plaque,Not Beaconed,Reliably Placed,5,Nelson,-41.39111639,172.0596935,21.3694,POINT (1521387.653002285 5417397.2919643),0.0,0.0
112073,36761974,B1R4,V NO 2,,Other,Not Beaconed,,9,Nelson,-41.390579304,172.053512355,,POINT (1520870.2336491698 5417451.291922325),0.0,0.0
8841,38203270,DK9P,LITTLE WANGANUI,No longer meets the site requirements for Order 5. SS PIN cemented into 35mm iron tube with concrete collar.,Pin,Not Beaconed,Reliably Placed,5,Nelson,-41.385821124,172.06414445,21.7422,POINT (1521753.4203808017 5417989.195303469),0.0,0.0
113788,36770860,A6JB,U NO 2,,Other,Not Beaconed,,9,Nelson,-41.362635065,172.072302539,,POINT (1522407.9722690464 5420570.61225341),0.0,0.0
61196,36753082,A6J9,COAST,"2 INCH DIAM IRON TUBE OVER BURIED BOTTLE, DESTROYED",Other,Not Beaconed,Not Specified,6,Nelson,-41.331460146,172.082034166,,POINT (1523185.294383441 5424040.2544883555),0.0,0.0
121754,36756641,B75L,B (Oparara SD),,Other,Not Beaconed,,12,Nelson,-41.287797049031,172.090603231238,,POINT (1523851.5627836734 5428895.166262913),0.0,0.0
130928,45538054,EY3K,BMT-285,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-40.83290403,172.8826437,,POINT (1590105.270674357 5479785.280147453),0.0,0.0
122735,36765442,AMLV,KINA NAVIGATION BEACON,,Other,Two metre beacon,,12,Nelson,-41.182295258108,173.063800950637,,POINT (1605350.946770303 5441004.153297843),0.0,0.0
72971,40792767,EQ2M,IT 5 SO 397900,Iron Tube 0.15m below Ground (Dunes),Tube,Not Beaconed,Reliably Placed,6,Nelson,-40.945273246,173.049240566,19.9775,POINT (1604144.63055839 5467316.930538926),0.0,0.0
25962,39909102,EQH7,IT I DP 9957,Iron Tube 0.2d in grass.  (Reliability not checked at time of Order 5 survey),Other,,Reliably Placed,5,Nelson,-40.861779995,173.027184256,23.4814,POINT (1602291.0064160153 5476586.12930531),0.0,0.0
124224,40773942,E8QR,TDC BM 20 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Not Specified,12,Nelson,-41.2143724,173.0844952,,POINT (1607083.1020762993 5437441.682881027),0.0,0.0
122762,36765478,AMRV,B1 (Totaranui SD),,Other,Not Beaconed,,12,Nelson,-40.812418310386,172.938282019866,,POINT (1594794.7351855598 5482064.1123518385),0.0,0.0
131880,45538008,EY53,BMT-477,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-40.79907539,172.7849471,,POINT (1581858.903812092 5483524.841319157),0.0,0.0
104018,36738690,AM7Y,GG (Waitapu SD),,Other,Not Beaconed,,8,Nelson,-40.717447917758,172.689100071554,,POINT (1573741.47955485 5492561.655211302),0.0,0.0
30393,42333980,EFP7,IT DP 6711,IT down 0.1m at edge of sealed road.,Tube,Not Beaconed,Reliably Placed,5,Nelson,-40.679408312,172.686450645,22.0683,POINT (1573502.6420409926 5496783.404335016),0.0,0.0
129972,45859905,EXMW,321 NO 2,SS pin set in concrete over buried bottle.,Pin,Not Beaconed,Reliably Placed,12,Nelson,-40.54792956,172.7215724,,POINT (1576424.5397981163 5511387.833591519),0.0,0.0
62313,36744295,A70E,321,Destroyed by Beach Erosion 15/02/2017. SS pin set in concrete in 50mm pipe.  See EXMW for new mark over buried bottle.,Pin,Not Beaconed,Destroyed,6,Nelson,-40.54792952,172.721572586,,POINT (1576424.5553012684 5511387.839190599),0.0,0.0
96299,36743039,A172,G ABEL HEAD,50mm Trig Pipe,Tube,Two metre metal beacon,Reliably Placed,6,Nelson,-40.527746316,172.736685124,,POINT (1577697.497047706 5513632.122340448),0.0,0.0
131126,45538125,EY1A,BMT-14,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.28103528,173.193125,,POINT (1616172.927178486 5430026.609605807),0.0,0.0
112750,36770930,B1VH,H RABBIT ISLAND,,Other,Not Beaconed,,9,Nelson,-41.272736293,173.17956688,,POINT (1615039.4299028974 5430950.356800025),0.0,0.0
120629,36747665,AMM5,SH (Moutere SD),,Other,Not Beaconed,,12,Nelson,-41.268596995362,173.16578968981,,POINT (1613886.4120631285 5431412.174277359),0.0,0.0
119537,36738775,AMM4,RABBIT ISLAND NAVIGATION BEACON,Gone,Other,Not Beaconed,,12,Nelson,-41.268490425903,173.1646194024,,POINT (1613788.4124485874 5431424.1911742035),0.0,0.0
130982,45537997,EY5E,BMT-23,TDC Benchmark,Unknown,Not Beaconed,Reliably Placed,12,Nelson,-41.25462096,173.1063174,,POINT (1608906.9586456236 5432971.519659677),0.0,0.0
124230,40773948,E8QK,TDC BM 6 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Not Specified,12,Nelson,-41.2500556,173.1070664,,POINT (1608970.3321506816 5433478.264012957),0.0,0.0
124231,40773949,E8QJ,TDC BM 7 RUBY BAY,"Stainless steel bolt set in 0.60m long, 0.10m diameter concrete filled PVC tube",Pin,Not Beaconed,Not Specified,12,Nelson,-41.249211,173.1067012,,POINT (1608939.84976516 5433572.064357852),0.0,0.0
62148,36753168,A6XL,13632,2.5 inch iron tube set in conc.,Other,Four metre beacon,Not Specified,6,Wellington,-39.775971365,174.495637723,,POINT (1728086.090195651 5596037.577528246),0.0,0.0
30692,39128230,EEG3,IT VIII SO 10960,Iron Tube set in conc. block.,Tube,Not Beaconed,Reliably Placed,5,Taranaki,-39.586886497,174.200114637,52.4067,POINT (1703057.5138560317 5617404.852583669),0.0,0.0
121629,36756455,B6WQ,D (Waimate SD),,Other,Not Beaconed,,12,Taranaki,-39.578986223948,174.133405739122,,POINT (1697339.923977966 5618356.025938238),0.0,0.0
118423,36729783,AM53,E1 CENTRE,,Other,Not Beaconed,,12,Taranaki,-39.458462465517,173.847322155918,,POINT (1672895.784066544 5632002.771373515),0.0,0.0
3488,36816999,CV4Q,IT IV SO 8650,Stainless steel pin set in conc. Under cast iron cover,Pin,Not Beaconed,Reliably Placed,4,Taranaki,-39.455753495,173.849901743,41.7469,POINT (1673120.5465580518 5632301.329317673),0.0,0.0
79835,36748547,B9KF,RM 2 SO 12436,End of lee breakwater,Other,Not Beaconed,Reliably Placed,6,Taranaki,-39.05501007,174.044620445,,POINT (1690386.4761094295 5676599.67659865),0.0,0.0
121306,36756073,AKDU,R CLIFF,,Other,Not Beaconed,,12,Taranaki,-39.052905808459,174.078619483604,,POINT (1693331.106394221 5676798.8500123955),0.0,0.0
31064,37671961,CXAP,RM 43 SO 11931,Iron tube set in conc.,Tube,Not Beaconed,Reliably Placed,5,Taranaki,-39.0178631,174.153001292,38.9403,POINT (1699816.7079527944 5680608.784534557),0.0,0.0
109627,37673088,DPQQ,PUKETAPU NO 2 (reinstated),disturbed position of B1AT,Unknown,Unknown,Not Specified,9,Taranaki,-39.01274187,174.1633314,,POINT (1700718.288184253 5681165.736875718),0.0,0.0
57670,36770483,B1AT,PUKETAPU NO 2,Destroyed see SO 9918.,Other,Not Beaconed,Not Specified,6,Taranaki,-39.012741549,174.163331834,,POINT (1700718.3261486236 5681165.771542299),0.0,0.0
115411,37673087,DPQR,PUKETAPU NO 3 (reinstated),N/A,Tube,Not Beaconed,Reliably Placed,9,Taranaki,-39.01264851,174.1633978,,POINT (1700724.169528183 5681176.02300604),0.0,0.0
62407,36726036,B1AU,PUKETAPU NO 3,2 inch iron pipe. Trig reinstated 23 feet below original position. See letter on file 17/305 of 20/3/68. Also see 17/149/13 of 4/6/75.,Other,Not Beaconed,Not Specified,6,Taranaki,-39.012648188,174.163398276,,POINT (1700724.211845324 5681176.059470553),0.0,0.0
113770,36734926,B1AV,PUKETAPU NO 4,0.5 inch galvanised iron pipe.  Reported disturbed see 6375-02-D07 of 13/11/90 and 30/9/91.,Other,Not Beaconed,Not Specified,9,Taranaki,-39.012492021,174.163713805,,POINT (1700751.7509175648 5681193.040968388),0.0,0.0
105946,36774233,AM5K,LX LIVINGSTONE,,Other,Not Beaconed,Reliably Placed,8,Taranaki,-39.593353343966,174.216746480941,,POINT (1704476.067134297 5616667.916438215),0.0,0.0
2862,48697347,F6R8,PIN 1 SO 564017,Stainless steel pin set in concrete block under plastic cover.,Pin,,Reliably Placed,4,South Auckland,-38.698372121598,174.617014209639,48.658775581978,POINT (1740616.753285559 5715453.737068654),0.0,0.0
108257,36746961,AJCT,OP SO 7601,,Other,Not Beaconed,,9,Taranaki,-38.890778785667,174.508286619909,,POINT (1730808.9714729819 5694262.583352904),0.0,0.0
79888,44985946,EVW7,KOHANGA BAY BASE,"5/8"" threaded bolt atop 2.5m wooden post with surveillance cameras.",Forced Centering,Not Beaconed,Reliably Placed,6,North Auckland,-34.880045964,173.295996298,45.4807,POINT (1627049.5519736076 6140219.293856774),0.0,0.0
60431,37672037,CX87,IT I SO 11709,N/A,Unknown,Unknown,Not Specified,6,Taranaki,-38.986910346,174.270577484,,POINT (1710043.701644995 5683908.268281853),0.0,0.0
120827,36751613,CXE8,OREWA RM2,Plaque in concrete block with frame and cover About 1km from the intersection with SH1.,Other,Pillar,,12,North Auckland,-36.573285412263,174.692537009585,,POINT (1751439.081735783 5951129.751518134),0.0,0.0
43471,36771513,A9K5,RM II SO 42665,PLAQUE IN CONC BLK . SO PLAN 42665,Other,Not Beaconed,Not Specified,6,North Auckland,-36.571963688,174.694584625,,POINT (1751624.8918527353 5951273.155943297),0.0,0.0
4318,36766793,BCXU,OLD NORTH ROAD,"Bronze pin set in concrete.(30/1/98) ID plaque attached. In grass berm on Sh1, 33m southeast of intersection with old North Road. ID plate attached. Cell phone coverage good.",Other,Not Beaconed,Reliably Placed,4,North Auckland,-36.571357554,174.693114482,84.307,POINT (1751494.5216091461 5951342.717997605),0.0,0.0
64540,37004707,CM1N,IT I DP 175078,N/A,Tube,Unknown,Reliably Placed,6,North Auckland,-36.57094812,174.693173333,,POINT (1751500.5877708192 5951388.047537043),0.0,0.0
117878,36729004,B5GR,8(1),,Other,Not Beaconed,,12,North Auckland,-35.847590324102,174.535039921151,,POINT (1738620.4677302807 6031868.168241767),0.0,0.0
58203,40765326,DUF7,IT DP 40230,N/A,Tube,Not Beaconed,Not Specified,6,North Auckland,-35.842924658,174.536664587,,POINT (1738775.3232128357 6032383.400614031),0.0,0.0
63236,40765328,DUF5,IS I SO 51079,N/A,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Not Specified,6,North Auckland,-35.842196337,174.53648479,,POINT (1738760.353246266 6032464.443742264),0.0,0.0
20027,41238264,EB55,IT I DP 203391,N/A,Tube,Not Beaconed,Reliably Placed,5,North Auckland,-35.626605052,174.516208367,39.7598,POINT (1737298.7248110333 6056406.866998021),0.0,0.0
24220,38961808,ECY1,IT X SO 19101,,Tube,,Reliably Placed,5,Wellington,-40.847519753,176.242935612,19.575,POINT (1873384.7611289138 5473106.324020061),0.0,0.0
23365,40705634,EB08,RM I DP 48082,N/A,Pin,Not Beaconed,Reliably Placed,5,Wellington,-40.691599022,175.144338706,16.3633,POINT (1781186.5625254149 5493266.317731557),0.0,0.0
117969,36729142,AJ69,F (Waitohu SD),,Other,Not Beaconed,,12,Wellington,-40.652610901101,175.160339188048,,POINT (1782645.0365927145 5497561.460016679),0.0,0.0
113812,36770626,A5GB,BLUFF,DESTROYED,Other,Not Beaconed,Destroyed,9,Wellington,-40.000392602,175.061673794,,POINT (1775989.5239829947 5570163.440806511),0.0,0.0
109536,36773908,AKNE,MT ALEXANDER,,Other,Not Beaconed,Destroyed,9,Wellington,-39.888457853563,174.905074456697,,POINT (1762886.2596629125 5582885.790923874),0.0,0.0
13652,39352910,DKN3,IT IB DPS 8504,,Tube,,Reliably Placed,5,South Auckland,-38.00832722,174.819894456,33.043,POINT (1759770.3589975894 5791698.287519348),0.0,0.0
100503,36748879,BC54,RS 19 SO 7768,,Other,Not Beaconed,,6,Gisborne,-38.628302152,178.168997497,,POINT (2050060.500500139 5711777.115745562),0.0,0.0
103342,36727775,ACUD,GB 30,SS PIN SET IN CONCRETE PILLAR 0.4M ABOVE GROUND.,Pin,Not Beaconed,,7,Gisborne,-38.622978725,178.175883473,29.1321,POINT (2050693.8486519172 5712334.45533538),0.0,0.0
23840,36746126,AFHM,CE 95,SS Pin set in concrete block.,Pin,Not Beaconed,Reliably Placed,5,North Auckland,-37.148935577,175.306103403,36.834,POINT (1804802.219068597 5886115.783734975),0.0,0.0
122168,36764686,AJ3V,B4,,Other,Not Beaconed,,12,North Auckland,-37.092193583379,175.305391413191,,POINT (1804891.9482628598 5892413.420583259),0.0,0.0
23695,37298500,DJ3A,IB DPS 11365,N/A,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Reliably Placed,5,South Auckland,-37.762196098,176.485858865,33.2367,POINT (1907082.5047357362 5814844.7345110485),0.0,0.0
82367,36761924,A6BG,25 NO 2,1 IN DIAM SS PIN SET FLUSH WITH TOP OF OLD 6 IN SQUARE KAURI PILE IN BOULDER BEACH.,"Spike, Bar, Bolt, Rod, Dog",Not Beaconed,Reliably Placed,6,South Auckland,-37.113103524,175.518070539,,POINT (1823735.4808843788 5889612.946243784),0.0,0.0
14465,47116578,F49C,PIN 1 SO 536564,Stainless Steel Pin set in concrete block under the plastic box and cover.,Pin,,Reliably Placed,5,South Auckland,-37.631659208038,176.184175819776,36.355286813341,POINT (1880991.7508545157 5830281.67388749),0.0,0.0
127654,36762963,AB4N,MOTURIKI NO 1,Located on Moturiki Island and situated 11 metres south-west of the 3m x 2.5m Tide gauge building. May be destroyed (mark status was formerly decommissioned).,Other,Not Beaconed,,12,South Auckland,-37.631104813637,176.185288765415,33.4039,POINT (1881092.081298662 5830339.866796665),0.0,0.0
28830,47116577,F49B,PIN 2 SO 536564,Stainless Steel Pin flush on large concrete block.,Pin,,Reliably Placed,5,South Auckland,-37.631080742784,176.185367198513,35.618022922426,POINT (1881099.0953939222 5830342.3026838),0.0,0.0
110971,36771852,B307,MOTURIKI NO 2,"""Steel rod concreted into rock, on south side of tide gauge building."" Located on Moturiki Island. BM is situated south of the tide gauge building and near the east side of the pump house at the eastern end of ""Marineland"".  May be destroyed (mark status",Other,Not Beaconed,,9,South Auckland,-37.631049883405,176.18537588099,34.3304,POINT (1881099.9782837112 5830345.702505553),0.0,0.0
111289,36736295,AB4Q,MOTURIKI TIDE GAUGE (1971),"Located on Moturiki Island. BM is situated inside 3m x 2.5m hut adjacent to the north side of the pumphouse at the eastern end of ""Marineland"".",Other,Not Beaconed,,9,South Auckland,-37.631016576659,176.185386261867,33.549,POINT (1881101.0204196211 5830349.367297595),0.0,0.0
117696,36727405,AB4P,MOTURIKI NO 3,Located on Moturiki Island and situated approximately 4.5 metres north-west of tide gauge building.,Other,Not Beaconed,,12,South Auckland,-37.630972945704,176.18529791432,,POINT (1881093.386287951 5830354.475116926),0.0,0.0
112722,36736296,AB4W,BC 81,"""SS Pin grouted to rock."" Located on Moturiki Island at the bottom of a rock face and east of a pool on the eastern side of the Marineland facility.  May be destroyed (mark status was formerly decommissioned).",Other,Not Beaconed,,9,South Auckland,-37.630951031893,176.185406791712,33.8832,POINT (1881103.0801224227 5830356.581043223),0.0,0.0
112049,36745186,AB4X,BC 82,"""SS Pin grouted to rock."" Located on Moturiki Island on the eastern side of the Marineland facility. BM is situated at the bottom of a rock face west of a pool against this rock face and north of an irregularly shaped pool. May be destroyed (mark status",Other,Not Beaconed,,9,South Auckland,-37.630890259217,176.185088014797,34.3131,POINT (1881075.170131462 5830364.281609876),0.0,0.0
35668,42491042,EJTK,IB I SO 60402,IB in grass under cast iron cover,"Spike, Bar, Bolt, Rod, Dog",,Reliably Placed,5,South Auckland,-37.063531378,175.523332794,37.7214,POINT (1824349.3126571195 5895101.271065915),0.0,0.0
81300,37568565,C3KJ,IT HAILEY SO 49532,N/A,Tube,Unknown,Reliably Placed,6,South Auckland,-36.824160387,175.70232385,,POINT (1841020.0700678974 5921225.7040375555),0.0,0.0
62758,40408457,EA8H,IT VIII SO 53306,N/A,Unknown,Not Beaconed,Not Specified,6,South Auckland,-36.72656126,175.634441229,,POINT (1835262.7236760333 5932224.707793333),0.0,0.0
60814,40408456,EA8J,IT IX SO 53306,N/A,Unknown,Not Beaconed,Not Specified,6,South Auckland,-36.725116956,175.637869202,,POINT (1835573.3278122572 5932376.541558858),0.0,0.0
10969,2016073,DPMD,IT IV DP 57962,Down 0.5m in Metal Driveway.,Tube,Not Beaconed,Reliably Placed,5,North Auckland,-36.60052251,174.701660796,48.2206,POINT (1752201.9925048717 5948093.659289755),0.0,0.0
72385,39284308,DPK6,RM A SO 449114,SS Pin set flush with rock below sand in reinforced concrete below MHW.  Mark is RM 1 SO 57443 lowered by 107mm.,Pin,Not Beaconed,Reliably Placed,6,North Auckland,-36.43270394,174.744082174,,POINT (1756333.9691581777 5966643.291005891),0.0,0.0
